"Sample.number","Plate.number","ID","Dung.batch","Batch","Pop","NC","Temp","Date.Hatching","Date.First.Transfer","Date.3rd.Ins","Mass.3rd.Ins","Date.PP","Sex","Date.Pupa","Days.to.Pupa","Mass.Pupa","Day.Adult","Adult.Body.Size","Day.Dead","Exclude.date.3rd","Exclude.Mass.3rd","Exclude.Mass.pupa","Exclude.adult","Exclude.death","Exclude.all","Notes"
"629","39.2","39-B4",2,24,"N. Carolina","-","Fluctuating","2017-11-04","2017-11-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-15","No","No","No","No","No","No","Dead 11/15"
"630","40.2","40-A1",2,25,"N. Carolina","+","Constant","2017-11-08","2017-11-09","2017-11-16",0.103,"2017-11-28",NA,NA,NA,NA,NA,NA,"2017-12-02","No","No","No","No","No","No","Still PP on 11/30, still 12/2, Dead 12/4"
"631","40.2","40-A2",2,25,"N. Carolina","+","Constant","2017-11-08","2017-11-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-14","No","No","No","No","No","No","Dead 11/14"
"632","40.2","40-A3",2,25,"N. Carolina","+","Constant","2017-11-08","2017-11-09","2017-11-16",0.1325,"2017-11-30","Female","2017-12-02",16,0.0763,"2017-12-12",4.283,NA,"No","No","No","No","No","No","Made it to adult"
"633","40.2","40-A4",2,25,"N. Carolina","+","Constant","2017-11-08","2017-11-09","2017-11-16",0.119,"2017-11-30","Female","2017-12-02",16,0.0692,"2017-12-12",4.211,NA,"No","No","No","No","No","No","Made it to adult"
"634","40.2","40-B1",2,25,"N. Carolina","+","Constant","2017-11-08","2017-11-09","2017-11-18",0.1009,"2017-12-02","Male","2017-12-04",16,0.0725,"2017-12-12",4.192,NA,"No","No","No","No","No","No","Made it to adult"
"635","40.2","40-B2",2,25,"N. Carolina","+","Constant","2017-11-08","2017-11-09","2017-11-18",0.1087,"2017-12-04","Male","2017-12-06",18,0.0754,"2017-12-16",4.375,NA,"No","No","No","No","No","No","Made it to adult"
"636","40.2","40-B3",2,25,"N. Carolina","+","Constant","2017-11-08","2017-11-09","2017-11-16",0.0841,"2017-12-02",NA,NA,NA,NA,NA,NA,"2017-12-04","No","No","No","No","No","No","Dead 12/4"
"637","41.2","41-A1",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11","2017-11-15",0.0763,"2017-11-29","Male","2017-12-01",16,0.0443,"2017-12-11",3.546,NA,"No","No","No","No","No","No","Made it to adult"
"638","41.2","41-A2",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-17","No","No","No","No","No","No","Dying 11/15, dead 11/17"
"639","41.2","41-A3",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11","2017-11-17",0.145,"2017-12-01","Female","2017-12-03",16,0.1033,"2017-12-13",4.789,NA,"No","No","No","No","No","No","Made it to adult"
"640","41.2","41-A4",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11","2017-11-17",0.1055,"2017-12-03","Female","2017-12-05",18,0.061,"2017-12-13",3.965,NA,"No","No","No","No","No","No","Made it to adult"
"641","41.2","41-B1",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11","2017-11-17",0.0773,"2017-12-01","Male","2017-12-03",16,0.046,"2017-12-13",3.593,NA,"No","No","No","No","No","No","Made it to adult"
"642","41.2","41-B2",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11","2017-11-17",0.088,"2017-12-03","Female","2017-12-05",18,0.0556,"2017-12-13",3.901,NA,"No","No","No","No","No","No","Made it to adult"
"643","41.2","41-B3",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11","2017-11-19",0.091,"2017-12-05","Male","2017-12-07",18,0.0673,"2017-12-17",4.133,NA,"No","No","No","No","No","No","Made it to adult"
"644","41.2","41-B4",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11","2017-11-17",0.1049,"2017-12-04","Female","2017-12-05",18,0.0604,"2017-12-15",3.973,NA,"No","No","No","No","No","No","Made it to adult"
"645","41.2","41-C1",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11","2017-11-17",0.0827,"2017-12-03","Female","2017-12-05",18,0.0295,NA,NA,NA,"No","No","No","No","No","No","Dead 12/13"
"646","41.2","41-C2",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11","2017-11-19",0.0487,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Maybe","No","Maybe","Maybe","Kinked 12/3, Dead 12/11"
"647","41.2","41-C3",2,25,"N. Carolina","+","Constant","2017-11-10","2017-11-11","2017-11-17",0.1079,"2017-12-04","Female","2017-12-05",18,0.0733,"2017-12-15",4.325,NA,"No","No","No","No","No","No","Made it to adult"
"648","42.2","42-A1",2,25,"N. Carolina","+","Fluctuating","2017-11-11","2017-11-12","2017-11-16",0.0822,NA,NA,NA,NA,NA,NA,3.957,NA,"No","No","Maybe","No","Maybe","Maybe","Do not use animal, (G: not sure of date)"
"649","42.2","42-A2",2,25,"N. Carolina","+","Fluctuating","2017-11-11","2017-11-12","2017-11-20",0.0405,NA,NA,NA,NA,NA,NA,NA,"2017-12-14","No","Maybe","Maybe","No","Maybe","Maybe","Kinked prior to 11/28, gunked mandibles prior to 12/12, 12/14"
"650","42.2","42-A3",2,25,"N. Carolina","+","Fluctuating","2017-11-11","2017-11-12","2017-11-16",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-18","No","No","No","No","No","No","Dead 11/18"
"651","42.2","42-A4",2,25,"N. Carolina","+","Fluctuating","2017-11-11","2017-11-12","2017-11-16",0.0643,NA,NA,NA,NA,NA,NA,NA,"2017-11-28","No","No","No","No","No","No","dead 11/28"
"652","42.2","42-B1",2,25,"N. Carolina","+","Fluctuating","2017-11-11","2017-11-12","2017-11-16",0.0874,"2017-12-07","Male","2017-12-08",22,0.0526,"2017-12-18",3.712,NA,"No","No","No","No","No","No","Made it to adult"
"653","42.2","42-B2",2,25,"N. Carolina","+","Fluctuating","2017-11-11","2017-11-12","2017-11-14",NA,"2017-12-10",NA,NA,NA,NA,NA,NA,"2017-12-14","No","No","No","No","No","No","11/14 Oddly early L3? (Note: Weight of L3 missing), dead 12/14"
"654","42.2","42-B3",2,25,"N. Carolina","+","Fluctuating","2017-11-11","2017-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-16","No","No","No","No","No","No","Dead 11/16"
"655","42.2","42-B4",2,25,"N. Carolina","+","Fluctuating","2017-11-11","2017-11-12","2017-11-18",0.0851,"2017-12-08","Female","2017-12-10",22,0.0604,"2017-12-20",3.949,NA,"No","No","No","No","No","No","Made it to adult"
"656","42.2","42-C1",2,25,"N. Carolina","+","Fluctuating","2017-11-11","2017-11-12","2017-11-20",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-28","No","No","No","No","No","No","Dying 11/28, dead 11/30"
"657","42.2","42-C2",2,25,"N. Carolina","+","Fluctuating","2017-11-11","2017-11-12","2017-11-18",0.0675,"2017-12-10","Male","2017-12-12",24,0.0388,"2017-12-22",3.299,NA,"No","No","No","No","No","No","Made it to adult"
"658","43.2","43-A1",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12","2017-11-18",0.0823,NA,NA,NA,NA,NA,NA,NA,"2017-12-08","No","No","No","No","No","No","dead 12/8"
"659","43.2","43-A2",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12","2017-11-18",0.0487,"2017-12-12",NA,NA,NA,NA,NA,NA,"2017-12-14","No","No","No","No","No","No","Failed pupa 12/14"
"660","43.2","43-A3",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12","2017-11-18",0.0626,NA,NA,NA,NA,NA,NA,NA,"2017-12-06","No","No","No","No","No","No","dead 12/6"
"661","43.2","43-A4",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12","2017-11-18",0.0815,NA,NA,NA,NA,NA,NA,NA,"2017-12-08","No","No","No","No","No","No","dead 12/8"
"662","43.2","43-B1",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12","2017-11-18",0.1027,"2017-12-06","Female","2017-12-08",20,0.0656,"2017-12-16",3.952,NA,"No","No","No","No","No","No","Made it to adult"
"663","43.2","43-B2",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-18","No","No","No","No","No","No","Dead 11/18"
"664","43.2","43-B3",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12","2017-11-20",0.0654,NA,NA,NA,NA,NA,NA,NA,"2017-12-08","No","No","No","No","No","No","dead 12/8"
"665","43.2","43-B4",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12","2017-11-18",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-22","No","No","No","No","No","No","Dead 11/22"
"666","43.2","43-C1",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12","2017-11-18",0.0662,"2017-12-02",NA,NA,NA,NA,NA,NA,"2017-12-04","No","No","No","No","No","No","Dead on 12/4"
"667","43.2","43-C2",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12","2017-11-20",0.0645,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","Yes","No","dead on ?? [not on plate]"
"668","43.2","43-C3",2,25,"N. Carolina","-","Fluctuating","2017-11-11","2017-11-12","2017-11-18",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-28","No","No","No","No","No","No","dead 11/28"
"669","44.2","44-A1",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-23",0.1088,"2017-12-07","Female","2017-12-09",16,0.0701,"2017-12-17",4.151,NA,"No","Maybe","Maybe","No","Maybe","Maybe","Kinked L3 on 11/27?"
"670","44.2","44-A2",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-25",0.0727,"2017-12-14","Male","2017-12-15",20,NA,NA,NA,"2017-12-17","No","No","No","No","No","No","Dead 12/17"
"671","44.2","44-A3",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-25",0.1206,"2017-12-09","Male","2017-12-11",16,0.0762,"2017-12-21",4.304,NA,"No","No","No","No","No","No","Made it to adult"
"672","44.2","44-A4",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-23",0.1018,"2017-12-09","Female","2017-12-11",18,0.0699,"2017-12-21",4.139,NA,"No","No","No","No","No","No","Made it to adult"
"673","44.2","44-B1",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-27","No","No","No","No","No","No","Dying 11/23, dead 11/27"
"674","44.2","44-B2",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-27",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-03","Yes","Yes","Yes","Yes","Yes","Yes","Abdomen ruptured 12/3"
"675","44.2","44-B3",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-23",0.038,NA,NA,NA,NA,NA,NA,NA,"2017-12-07","No","Maybe","Maybe","No","Maybe","Maybe","Damaged head 11/23, dead 12/7"
"676","44.2","44-B4",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-27",0.0802,"2017-12-09","Female","2017-12-11",14,0.0523,"2017-12-21",3.814,NA,"No","No","No","No","No","No","Made it to adult"
"677","44.2","44-C1",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-23",0.0593,"2017-12-15","Female","2017-12-17",24,0.0608,"2017-12-27",4.001,NA,"No","No","No","No","No","No","Kinked 11/30?"
"678","44.2","44-C2",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-23",0.0743,"2017-12-14","Female","2017-12-15",22,0.0453,"2017-12-25",3.548,NA,"No","No","No","No","No","No","Made it to adult"
"679","44.2","44-C3",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-29",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-01","No","No","No","No","No","No","Dead 12/1"
"680","44.2","44-C4",2,26,"N. Carolina","+","Constant","2017-11-16","2017-11-17","2017-11-27",0.0852,"2017-12-11","Male","2017-12-13",16,0.0474,"2017-11-23",3.563,NA,"No","No","No","No","No","No","Made it to adult"
"681","45.2","45-A1",2,26,"W. Australia","+","Fluctuating","2017-11-16","2017-11-17","2017-11-29",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-01","No","No","No","No","No","No","dead 12/1"
"682","45.2","45-A2",2,26,"W. Australia","+","Fluctuating","2017-11-16","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-21","No","No","No","No","No","No","Dead 11/21"
"683","45.2","45-A3",2,26,"W. Australia","+","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.0785,"2017-12-16","Male","2017-12-17",24,0.05,"2017-12-29",3.681,NA,"No","No","No","No","No","No","Made it to adult"
"684","45.2","45-A4",2,26,"N. Carolina","+","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.0835,"2017-12-15","Female","2017-12-17",24,0.0445,"2017-12-27",3.566,NA,"No","No","No","No","No","No","Made it to adult"
"685","45.2","45-B1",2,26,"N. Carolina","+","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.0697,"2017-12-17","Female","2017-12-21",28,0.0399,NA,NA,NA,"No","No","No","No","No","No","Dead 12/25"
"686","45.2","45-B2",2,26,"N. Carolina","+","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.1083,"2017-12-14","Male","2017-12-15",22,0.0652,"2017-12-23",4.064,NA,"No","No","No","No","No","No","Made it to adult"
"687","45.2","45-B3",2,26,"N. Carolina","+","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.0942,"2017-12-14","Female","2017-12-15",22,0.0683,"2017-12-25",4.163,NA,"No","No","No","No","No","No","Made it to adult"
"688","45.2","45-B4",2,26,"N. Carolina","+","Fluctuating","2017-11-16","2017-11-17","2017-11-21",0.06,"2017-12-17",NA,"2017-12-19",28,NA,NA,NA,NA,"No","Maybe","Maybe","No","Maybe","Maybe","Kinked sometime around 11/27, pupa failed to fully eclose 12/21"
"689","45.2","45-C1",2,26,"N. Carolina","+","Fluctuating","2017-11-16","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-25","No","No","No","No","No","No","Dead 11/25"
"690","45.2","45-C2",2,26,"N. Carolina","+","Fluctuating","2017-11-16","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-25","No","No","No","No","No","No","Dead 11/25"
"691","45.2","45-C3",2,26,"N. Carolina","+","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.0975,"2017-12-14","Male","2017-12-15",22,0.0755,"2017-12-25",4.333,NA,"No","No","No","No","No","No","Made it to adult"
"692","45.2","45-C4",2,26,"N. Carolina","+","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.0874,"2017-12-14","Female","2017-12-15",22,0.0488,"2017-12-25",3.686,NA,"No","No","No","No","No","No","Made it to adult"
"693","46.2","46-A1",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-05","No","No","No","No","No","No","Kinked L2 around 11/29, dead 12/5"
"694","46.2","46-A2",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17","2017-11-27",0.0494,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","Dead 12/27"
"695","46.2","46-A3",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.0821,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","Dead 12/11"
"696","46.2","46-A4",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.0972,"2017-12-11","Female","2017-12-13",20,0.0419,"2017-12-23",3.843,NA,"No","No","No","No","No","No","Made it to adult"
"697","46.2","46-B1",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-23","No","No","No","No","No","No","Dead on 11/23"
"698","46.2","46-B2",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.1033,"2017-12-07","Male","2017-12-09",16,0.0642,NA,NA,"2017-12-15","No","No","No","No","No","No","Dead as pupa 12/15"
"699","46.2","46-B3",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.1149,"2017-12-14","Male","2017-12-15",22,0.0758,NA,NA,"2017-12-23","No","No","No","No","No","No","Dead 12/23"
"700","46.2","46-B4",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-29","No","No","No","No","No","No","Dead 11/29"
"701","46.2","46-C1",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.085,"2017-12-11","Male","2017-12-13",20,0.0355,"2017-12-23",3.741,NA,"No","No","No","No","No","No","Made it to adult"
"702","46.2","46-C2",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17","2017-11-23",0.1022,NA,NA,NA,NA,NA,NA,NA,"2017-12-05","No","No","No","No","No","No","Dead 12/05"
"703","46.2","46-C3",2,26,"N. Carolina","-","Fluctuating","2017-11-16","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-23","No","No","No","No","No","No","Dead on 11/23"
"704","47.2","47-A1",2,26,"W. Australia","-","Fluctuating","2017-11-17","2017-11-18","2017-11-22",0.071,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","Sick on 12/20, Dead 12/26"
"705","47.2","47-A2",2,26,"W. Australia","-","Fluctuating","2017-11-17","2017-11-18","2017-11-22",NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-28","Yes","Yes","Yes","Yes","Yes","Yes","Dead 11/28 no room"
"706","47.2","47-A3",2,26,"N. Carolina","-","Fluctuating","2017-11-17","2017-11-18","2017-11-22",0.0625,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","Dead 12/16"
"707","47.2","47-A4",2,26,"N. Carolina","-","Fluctuating","2017-11-17","2017-11-18","2017-11-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","Dead 12/4"
"708","47.2","47-B1",2,26,"N. Carolina","-","Fluctuating","2017-11-17","2017-11-18","2017-11-24",0.0679,NA,NA,NA,NA,NA,NA,NA,"2017-12-14","No","No","No","No","No","No","dead 12/14"
"709","47.2","47-B2",2,26,"N. Carolina","-","Fluctuating","2017-11-17","2017-11-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-28","No","No","No","No","Yes","No","11/28 dead kinked L2"
"710","47.2","47-B3",2,26,"N. Carolina","-","Fluctuating","2017-11-17","2017-11-18","2017-11-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","Yes","No",NA
"711","47.2","47-B4",2,26,"N. Carolina","-","Fluctuating","2017-11-17","2017-11-18","2017-11-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","Dead 12/6"
"712","47.2","47-C1",2,26,"N. Carolina","-","Fluctuating","2017-11-17","2017-11-18","2017-11-24",0.0868,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","Dead 12/16"
"713","47.2","47-C2",2,26,"N. Carolina","-","Fluctuating","2017-11-17","2017-11-18","2017-11-26",0.0631,NA,NA,NA,NA,NA,NA,NA,"2017-12-14","No","No","No","No","No","No","Dying 12/12, dead 12/14"
"714","47.2","47-C3",2,26,"N. Carolina","-","Fluctuating","2017-11-17","2017-11-18","2017-11-26",0.0688,NA,NA,NA,NA,NA,NA,NA,"2017-12-16","No","No","No","No","No","No","Dead 12/16"
"715","47.2","47-C4",2,26,"N. Carolina","-","Fluctuating","2017-11-17","2017-11-18","2017-11-24",0.0807,NA,NA,NA,NA,NA,NA,NA,"2017-12-22","No","No","No","No","No","No","Sick on 12/18, dead 12/22"
"716","48.2","48-A1",2,26,"W. Australia","+","Fluctuating","2017-11-18","2017-11-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-01","No","No","No","No","No","No","Dead 12/1…"
"717","48.2","48-A2",2,26,"W. Australia","+","Fluctuating","2017-11-18","2017-11-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-23","No","No","No","No","No","No","Dead on 11/23"
"718","48.2","48-A3",2,26,"W. Australia","+","Fluctuating","2017-11-18","2017-11-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-25","No","No","No","No","No","No","Dead on 11/25"
"719","48.2","48-A4",2,26,"W. Australia","+","Fluctuating","2017-11-18","2017-11-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-29","Yes","Yes","Yes","Yes","Yes","Yes","11/27 no space to move, dead 11/29"
"720","48.2","48-B1",2,26,"W. Australia","+","Fluctuating","2017-11-18","2017-11-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-03","No","No","No","No","No","No","Dead 12/3"
"721","48.2","48-B2",2,26,"N. Carolina","+","Fluctuating","2017-11-18","2017-11-19","2017-11-25",0.0824,"2017-12-14","Male","2017-12-15",20,0.0455,"2017-12-25",3.594,NA,"No","No","No","No","No","No","Made it to adult"
"722","48.2","48-B3",2,26,"N. Carolina","+","Fluctuating","2017-11-18","2017-11-19","2017-11-29",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-01","No","No","No","No","No","No","Dead 12/1"
"723","48.2","48-B4",2,26,"N. Carolina","+","Fluctuating","2017-11-18","2017-11-19","2017-11-25",0.0942,"2017-12-14","Male","2017-12-15",20,0.0525,"2017-12-25",3.781,NA,"No","No","No","No","No","No","Made it to adult"
"724","48.2","48-C1",2,26,"N. Carolina","+","Fluctuating","2017-11-18","2017-11-19","2017-11-29",0.0847,"2017-12-17","Female","2017-12-19",20,0.0405,"2017-12-29",3.45,NA,"No","No","No","No","No","No","Made it to adult"
"725","49.2","49-A1",2,27,"N. Carolina","-","Fluctuating","2017-11-23","2017-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-30","No","No","No","No","No","No","Dead 11/30"
"726","49.2","49-A2",2,27,"N. Carolina","-","Fluctuating","2017-11-23","2017-11-24","2017-12-04",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-10","No","No","No","No","No","No","Dead 12/10"
"727","49.2","49-A3",2,27,"N. Carolina","-","Fluctuating","2017-11-23","2017-11-24","2017-12-02",0.0555,NA,NA,NA,NA,NA,NA,NA,"2017-12-24","No","No","No","No","No","No","Sick 12/20, Dead 12/24"
"728","49.2","49-A4",2,27,"N. Carolina","-","Fluctuating","2017-11-23","2017-11-24","2017-11-30",0.1029,"2017-12-16","Male","2017-12-18",18,0.0676,"2017-12-28",4.02,NA,"No","No","No","No","No","No","Made it to adult"
"729","49.2","49-B1",2,27,"N. Carolina","-","Fluctuating","2017-11-23","2017-11-24","2017-11-30",0.0705,NA,NA,NA,NA,NA,NA,NA,"2017-12-20","No","No","No","No","No","No","Dead 12/20"
"730","49.2","49-B2",2,27,"N. Carolina","-","Fluctuating","2017-11-23","2017-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-02","No","No","No","No","No","No","dead 12/2"
"731","49.2","49-B3",2,27,"N. Carolina","-","Fluctuating","2017-11-23","2017-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-28","No","No","No","No","No","No","Dead 11/28"
"732","49.2","49-B4",2,27,"N. Carolina","-","Fluctuating","2017-11-23","2017-11-24","2017-12-02",0.0721,"2017-12-26","Female","2017-12-28",26,0.0435,NA,NA,"2017-12-30","No","No","No","No","No","No","Sick 12/20, Dead as pupa 12/30"
"733","49.2","49-C1",2,27,"N. Carolina","-","Fluctuating","2017-11-23","2017-11-24","2017-12-04",0.0419,NA,NA,NA,NA,NA,NA,NA,"2017-12-20","No","No","No","No","No","No","Dead 12/20"
"734","50.2","50-A1",2,27,"N. Carolina","+","Fluctuating","2017-11-23","2017-11-24","2017-12-06",0.0664,NA,NA,NA,NA,NA,NA,NA,"2017-12-20","No","No","No","No","No","No","Dead 12/20"
"735","50.2","50-A2",2,27,"N. Carolina","+","Fluctuating","2017-11-23","2017-11-24","2017-12-02",0.0753,NA,NA,NA,NA,NA,NA,NA,"2017-12-20","No","No","No","No","No","No","Dead 12/20"
"736","50.2","50-A3",2,27,"N. Carolina","+","Fluctuating","2017-11-23","2017-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-28","No","No","No","No","No","No","Dead 11/28"
"737","50.2","50-A4",2,27,"N. Carolina","+","Fluctuating","2017-11-23","2017-11-24","2017-12-06",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-12","No","No","No","No","No","No","Dying 12/8"
"738","50.2","50-B1",2,27,"N. Carolina","+","Fluctuating","2017-11-23","2017-11-24","2017-12-06",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-12","No","No","No","No","No","No","Dying 12/8"
"739","50.2","50-B2",2,27,"N. Carolina","+","Fluctuating","2017-11-23","2017-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-04","No","No","No","No","No","No","Dead 12/4"
"740","50.2","50-B3",2,27,"N. Carolina","+","Fluctuating","2017-11-23","2017-11-24","2017-11-28",0.1078,NA,NA,NA,NA,NA,NA,NA,"2017-12-20","No","No","No","No","No","No","Dead 12/20"
"741","50.2","50-B4",2,27,"N. Carolina","+","Fluctuating","2017-11-23","2017-11-24","2017-12-02",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-08","No","No","No","No","No","No","Small L3? On 12/2, dead 12/8"
"742","50.2","50-C1",2,27,"N. Carolina","+","Fluctuating","2017-11-23","2017-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-28","No","No","No","No","No","No","Dead 11/28"
"743","51.2","51-A1",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01","2017-12-09",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-15","No","No","No","No","No","No","Dead 12/15"
"744","51.2","51-A2",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01","2017-12-07",0.072,"2018-01-02",NA,"2018-01-04",28,NA,NA,NA,NA,"No","No","No","No","No","No","Died 1/6 before weight taken, did not eclose properly"
"745","51.2","51-A3",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-07","No","No","No","No","No","No","Dead 127"
"746","51.2","51-A4",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-09","No","No","No","No","No","No","Dead 12/9"
"747","51.2","51-B1",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01","2017-12-09",0.0888,"2017-12-29","Male","2017-12-31",22,0.0625,NA,NA,"2018-01-04","No","No","No","No","No","No","Dead 1/4"
"748","51.2","51-B2",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01","2017-12-09",0.1087,"2017-12-29","Female","2017-12-31",22,0.066,"2018-01-10",4.104,NA,"No","No","No","No","No","No","Made it to adult"
"749","51.2","51-B3",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01","2017-12-07",0.0878,"2017-12-29","Female","2017-12-31",24,0.0542,"2018-01-10",NA,NA,"No","No","No","No","No","No","Made it to adult"
"750","51.2","51-B4",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01","2017-12-11",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-19","No","No","No","No","No","No","Dead 12/19"
